source,target,weight
421,88,5
421,49,2
421,663,3
421,421,1
421,37,2
88,49,2
88,88,6
88,663,4
88,421,4
88,37,4
49,88,3
49,663,3
49,421,1
49,37,2
663,88,3
663,421,2
663,37,1
663,49,1
663,663,3
429,124,3
429,37,1
429,429,2
429,74,4
124,37,2
124,429,4
124,74,2
37,429,6
37,74,6
1619,37,1
1619,429,6
1619,1619,2
1619,74,2
37,1619,4
429,1619,2
37,421,1
1619,49,1
1619,124,3
429,49,1
49,1619,2
49,124,4
37,124,7
37,49,1
37,37,1
124,49,1
124,124,6
124,1619,3
49,74,1
49,429,1
74,37,1
74,124,3
74,1619,4
74,429,4
2094,37,1
2094,74,8
2094,2094,10
2094,1619,4
2094,429,5
37,2094,4
74,2094,7
74,74,3
1619,2094,1
