id,label,weight
12,Workshop,12
29,zielen,3
9,Sinn,1
17,fair,2
25,prinzipien,4
6,Hinblick,4
22,konkret,8
11,Vernetzung,4
18,geist,1
15,daten,34
5,Erstellung,5
26,sogenannter,12
2,Beacon,1
1,Basis,12
19,gemeinsam,14
7,Normdatei,1
30,zunachst,1
3,Beispiel,10
27,vorgefuhren,1
20,grundlegend,2
28,vorgehen,3
16,erlautern,1
8,Schwerpunkt,2
23,liegen,7
14,allerdings,5
24,praktisch,6
0,Anwendung,7
21,hands_on,3
4,Erprobung,2
13,abgerundet,1
10,Veranstaltung,1
56,ganztagig,1
53,erlangen,2
65,teilnehmend,4
51,erforderlich,2
61,kenntnisse,1
41,Tools,15
42,Vielzahl,3
44,anbieten,3
46,auszuwahlen,1
49,dabei,31
63,legen,3
48,besonderer,4
32,Fokus,6
35,Open,2
36,Produkt,1
64,ocr,5
31,Einfuhrung,3
39,Technologie,6
54,folgen,1
40,Teil,7
60,jeweilig,3
38,Stunde,1
50,demonstrieren,1
45,ausprobiert,1
52,erganzen,3
62,kurz,4
34,Inputvortrage,1
33,Frage,22
57,geeignet,6
43,Workflow,4
59,hinweisen,2
47,beachten,1
58,gelten,7
55,fur,62
37,Projekt,49
83,beruhren,1
96,inzwischen,2
80,bereich,3
78,Wissenschaft,5
103,wahrend,4
95,insbesondere,17
88,digital_humanities,40
87,digital,67
69,Art,4
66,Anfalle,1
71,Forschungsdat,3
85,bezeichnen,2
93,geben,18
67,Antragstellung,1
81,bereits,12
70,Erstellt,1
77,Umgang,7
75,Projektlaufzeit,2
94,genau,7
92,erfassen,4
79,aspekt,6
97,klimaschutzes,1
82,berucksichtigen,6
105,zeitgleich,1
101,steigend,2
68,Anzahl,3
74,Methode,25
100,schreiten,1
73,Klimakrise,1
84,beruhrt,1
98,menge,1
89,digitaler,5
102,technisch,13
99,prozeß,2
86,daher,12
104,workshop,3
76,Prozess,2
72,Grun,1
90,diskutieren,19
91,entwickeln,20
116,Grundlage,4
111,Forschung,31
128,Verfugbarkeit,4
124,Text,40
106,Anforderung,2
133,einfach,3
137,erfullt,1
143,historisch,29
126,Transformation,4
122,Reprasentation,5
154,realisier,2
150,maschinell,3
118,Lernen,2
129,automatisch,8
125,Texterkennung,5
134,enorm,1
140,fortschreiten,1
159,vollziehen,2
131,betreffen,2
112,Genauigkeit,1
142,hierbei,1
146,kommen,4
151,methode,1
109,Einsatz,9
120,Paradigma,1
148,lernen,5
130,beispiel,3
110,Folge,1
119,Notig,1
156,treiningsdaten,1
113,Ground,1
117,Gt,1
135,erfolgen,1
114,Großteil,3
149,manuell,7
136,erfordern,3
144,hoch,5
160,zeitlich,2
139,finanziell,1
107,Aufwand,2
115,Grund,3
153,pflegen,1
157,vermitteln,5
141,gt,2
123,Richtlinie,2
145,kollaborativ,6
108,Datenkultur,2
158,verpflichtend,1
127,Umgebung,1
138,erstellen,10
155,sicherstell,1
152,minimieren,1
121,Rahmen,17
132,deutsch,14
147,leben,2
193,op,3
166,Forscher,5
187,gezielt,1
176,Tool,3
199,services,1
201,such,2
191,konn,10
173,Service,2
188,gut,8
178,auffindbar,2
168,Konn,21
179,ausfuhrlich,1
170,Metadat,3
197,referenz,1
171,Publikation,5
163,Datensatz,4
208,workflow,2
189,herstellen,2
194,orientieren,2
165,Form,9
206,vorgehensweise,1
182,beschrieben,2
186,gewunscht,1
164,Ergebnis,16
185,erreich,1
202,unterteilt,1
198,schritt,2
174,Steps,1
207,vornehmen,2
167,Fragestellung,8
180,beantworten,1
172,Schritt,8
204,verknupfen,2
177,Umsetzung,2
205,verwenden,3
200,somit,2
184,erhalten,4
169,Kontext,11
181,beispielhaft,1
203,verbessert,3
161,Auffindbarkeit,1
192,moglich,10
162,Aufzeigt,1
175,Teilnehmer,7
190,innen,13
183,einladen,1
195,praktik,2
196,publizieren,5
229,computationelle,1
222,Verfahren,7
250,selten,1
232,erkenntnisreich,1
249,qualitativ,3
221,Untersuchung,7
231,einhergehen,1
248,meist,2
224,Zweck,2
218,Mensch,3
217,Maschine,2
241,interaktionen,1
254,umsetzen,1
258,verandern,3
